service,year,month,url
green,2018,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-06.parquet
green,2018,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-07.parquet
green,2018,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-08.parquet
green,2018,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-09.parquet
green,2018,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-10.parquet
green,2018,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-11.parquet
green,2018,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-12.parquet
green,2019,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-01.parquet
green,2019,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-02.parquet
green,2019,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-03.parquet
green,2019,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-04.parquet
green,2019,5,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-05.parquet
green,2019,6,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-06.parquet
green,2019,7,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-07.parquet
green,2019,8,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-08.parquet
green,2019,9,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-09.parquet
green,2019,10,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-10.parquet
green,2019,11,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-11.parquet
green,2019,12,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-12.parquet
green,2020,1,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-01.parquet
green,2020,2,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-02.parquet
green,2020,3,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-03.parquet
green,2020,4,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2020-04.parquet
